URI,count,type
http://data.wikipathways.org/160810/rdf/,62,subject
http://identifiers.org,1792677,subject
http://rdf.wikipathways.org/,20,subject
http://rdf.wikipathways.org/Pathway,12309395,subject
http://rdf.wikipathways.org/release160810/,46,subject
http://creativecommons.org/licenses/by/3.0/,2,object
http://data.wikipathways.org/160810/rdf/,16,object
http://identifiers.org,1158947,object
http://purl.obolibrary.org/obo/,4036,object
http://purl.org/cld/freq/,2,object
http://purl.org/pav/,2,object
http://rdf.ncbi.nlm.nih.gov/pubchem/compound/,10176,object
http://rdf.wikipathways.org/,3,object
http://rdf.wikipathways.org/Pathway,2585166,object
http://rdf.wikipathways.org/pastVersions/release20160710/,4,object
http://rdfs.org/ns/void#,8,object
http://semanticscience.org/resource/,2,object
http://vocabularies.wikipathways.org/,4,object
http://vocabularies.wikipathways.org/gpml#,818831,object
http://vocabularies.wikipathways.org/gpml/,19,object
http://vocabularies.wikipathways.org/wp#,376423,object
http://vocabularies.wikipathways.org/wp/,17,object
http://www.biopax.org/release/biopax-level3.owl#,2,object
http://www.ncbi.nlm.nih.gov/pubmed/,26031,object
http://www.w3.org/2004/02/skos/core#,1764,object
http://www.w3.org/ns/dcat#,4,object
http://www.wikidata.org/entity/,1850,object
http://www.wikipathways.org/,2,object
http://www.wikipathways.org/instance/,1764,object
http://xmlns.com/foaf/0.1/,2,object
https://github.com/wikipathways/GPML2RDF/tree/,2,object
https://jenkins.bigcat.unimaas.nl/job/GPML%20to%20GPML%20+%20WP%20RDF/,4,object
