URI,count,type
http://purl.jp/bio/10/lsd/icd10/,8408,subject
http://purl.jp/bio/10/lsd/mesh/,793916,subject
http://purl.jp/bio/10/lsd/ontology/,18,subject
http://purl.jp/bio/10/lsd/ontology/201209#,212,subject
http://purl.jp/bio/10/lsd/pair/,7760864,subject
http://purl.jp/bio/10/lsd/term/,3878456,subject
http://purl.org/dc/aboutdcmi#,2,subject
http://purl.org/dc/dcam/,2,subject
http://www.w3.org/2000/01/rdf-schema#,2,subject
http://www.w3.org/2001/XMLSchema#,2,subject
http://dbpedia.org/resource,109440,object
http://ja.dbpedia.org/resource/,74832,object
http://ja.dbpedia.org/resource/Na+/,4,object
http://lsd.pharm.kyoto-u.ac.jp/weblsd/tree/,49060,object
http://purl.jp/bio/10/lsd/icd10/,16914,object
http://purl.jp/bio/10/lsd/mesh/,4401264,object
http://purl.jp/bio/10/lsd/ontology/201209#,3229416,object
http://purl.jp/bio/10/lsd/term/,2044030,object
http://purl.org/dc/terms/,2,object
http://www.orpha.net/ORDO/,2484,object
http://www.w3.org/2000/01/rdf-schema#,6,object
http://www.w3.org/2001/XMLSchema#,20,object
http://www.w3.org/2002/07/owl#,102,object
http://www.w3.org/2004/02/skos/,2,object
http://www.w3.org/2004/02/skos/core#,10,object
